Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales,Rating
BB1657,16.72,Low Fat,0.024,Fruits,OUT045,2013,Medium,Tier 3,Hypermarket,2726.36,4.5
BB1658,13.69,Low Fat,0.076,Health,OUT049,2019,High,Tier 2,Grocery Store,613.86,2.4
BB1659,5.85,Non-Edible,0.101,Dairy,OUT019,2011,Small,Tier 1,Hypermarket,3481.85,1.9
BB1660,16.17,Low Fat,0.116,Vegetables,OUT046,1996,Medium,Tier 3,Grocery Store,3787.61,3.2
BB1661,2.04,Non-Edible,0.171,Snacks,OUT035,1997,Medium,Tier 1,Grocery Store,1034.39,2.2
BB1662,12.97,Non-Edible,0.158,Baking Goods,OUT045,1998,High,Tier 1,Hypermarket,4762.8,1.7
BB1663,13.12,Low Fat,0.117,Household,OUT049,2016,Medium,Tier 3,Hypermarket,4910.09,1.4
BB1664,4.41,Regular,0.121,Health,OUT045,2017,Medium,Tier 3,Supermarket,4434.71,4.5
BB1665,2.42,Non-Edible,0.022,Household,OUT018,2014,Medium,Tier 3,Grocery Store,2536.3,1.9
BB1666,11.71,Low Fat,0.027,Canned,OUT049,2002,High,Tier 2,Grocery Store,3068.31,4.5
BB1667,8.7,Regular,0.072,Baking Goods,OUT027,2002,High,Tier 1,Hypermarket,4772.33,3.5
BB1668,18.6,Low Fat,0.084,Baking Goods,OUT018,2010,Medium,Tier 2,Supermarket,3375.96,4.6
BB1669,4.45,Regular,0.122,Dairy,OUT027,2020,High,Tier 1,Supermarket,3493.53,2.2
BB1670,13.49,Low Fat,0.094,Household,OUT046,2015,High,Tier 2,Hypermarket,3471.3,2
BB1671,5.47,Non-Edible,0.077,Health,OUT027,2009,Medium,Tier 1,Grocery Store,4007.52,1.9
BB1672,12.12,Low Fat,0.097,Frozen Foods,OUT027,2013,High,Tier 3,Supermarket,2226.41,4.8
BB1673,14.92,Regular,0.023,Dairy,OUT027,2006,High,Tier 3,Grocery Store,562.68,1.1
BB1674,16.51,Non-Edible,0.195,Frozen Foods,OUT045,2001,Medium,Tier 3,Supermarket,4488.81,2.3
BB1675,16.47,Regular,0.063,Vegetables,OUT019,2008,High,Tier 2,Supermarket,1073.16,3.7
BB1676,18.22,Non-Edible,0.196,Soft Drinks,OUT019,2016,Medium,Tier 2,Supermarket,4807.77,2.4
BB1677,18.19,Non-Edible,0.126,Baking Goods,OUT018,2007,High,Tier 3,Grocery Store,1890.4,3.3
BB1678,3.59,Regular,0.138,Vegetables,OUT045,2014,Small,Tier 2,Hypermarket,2859.61,3.6
BB1679,9.99,Low Fat,0.048,Snacks,OUT046,1998,Small,Tier 3,Supermarket,3325.83,3.2
BB1680,19.37,Regular,0.097,Soft Drinks,OUT027,2001,Small,Tier 2,Hypermarket,2230.76,1.4
BB1681,11.51,Regular,0.109,Health,OUT027,2001,High,Tier 3,Supermarket,1151.36,1.9
BB1682,5.64,Regular,0.167,Health,OUT049,2012,Medium,Tier 1,Grocery Store,2737.43,4.2
BB1683,3.88,Regular,0.139,Canned,OUT018,2007,Medium,Tier 1,Grocery Store,873.08,3.9
BB1684,5.33,Low Fat,0.191,Vegetables,OUT049,2020,Medium,Tier 2,Grocery Store,1967.36,2.4
BB1685,15.96,Low Fat,0.18,Canned,OUT027,2015,High,Tier 3,Supermarket,2806.58,4.1
BB1686,9.64,Regular,0.03,Baking Goods,OUT046,2003,Medium,Tier 3,Hypermarket,4361.17,4.6
BB1687,2.03,Regular,0.096,Soft Drinks,OUT027,2000,Small,Tier 2,Grocery Store,1708.71,2.2
BB1688,16.57,Non-Edible,0.141,Health,OUT035,2020,Medium,Tier 2,Supermarket,4634.67,2.1
BB1689,14.82,Non-Edible,0.055,Frozen Foods,OUT049,2004,Medium,Tier 3,Hypermarket,1417.48,3.9
BB1690,9.54,Low Fat,0.103,Dairy,OUT045,2012,Small,Tier 3,Hypermarket,3272.14,1.7
BB1691,10.39,Non-Edible,0.127,Snacks,OUT046,2004,Medium,Tier 3,Supermarket,4658.23,3.3
BB1692,4.33,Non-Edible,0.026,Dairy,OUT049,2015,Small,Tier 1,Supermarket,1453.66,1.1
BB1693,3.18,Low Fat,0.035,Vegetables,OUT046,2011,High,Tier 2,Supermarket,4772.82,2.6
BB1694,6.2,Low Fat,0.187,Fruits,OUT027,2008,Small,Tier 2,Hypermarket,1805.61,4.5
BB1695,15.65,Non-Edible,0.012,Baking Goods,OUT035,2014,Small,Tier 3,Supermarket,2530.48,3.4
BB1696,17.9,Non-Edible,0.056,Health,OUT049,1997,Medium,Tier 2,Supermarket,3009.53,3.6
BB1697,11.57,Non-Edible,0.111,Health,OUT049,2019,Small,Tier 2,Grocery Store,4039.91,4.5
BB1698,6.98,Regular,0.121,Dairy,OUT027,2008,High,Tier 2,Supermarket,4855.34,2.6
BB1699,4.93,Regular,0.139,Health,OUT049,2016,Medium,Tier 3,Grocery Store,2270.73,1.1
BB1700,5.26,Non-Edible,0.065,Snacks,OUT046,2019,Medium,Tier 2,Hypermarket,988.32,1
BB1701,2.96,Regular,0.142,Soft Drinks,OUT045,2005,High,Tier 1,Supermarket,2243.57,4.2
BB1702,13.59,Non-Edible,0.127,Canned,OUT045,2021,High,Tier 3,Grocery Store,2181.82,2.6
BB1703,11.31,Non-Edible,0.114,Fruits,OUT045,2019,Medium,Tier 2,Hypermarket,2906.94,4.3
BB1704,17.87,Regular,0.152,Fruits,OUT035,2013,High,Tier 3,Supermarket,4817.64,1.9
BB1705,7,Regular,0.169,Frozen Foods,OUT027,2020,High,Tier 1,Hypermarket,945.85,3.9
BB1706,17.98,Low Fat,0.061,Vegetables,OUT046,2003,High,Tier 3,Supermarket,1615.69,4.3
BB1707,4.23,Low Fat,0.101,Canned,OUT018,2010,Small,Tier 2,Hypermarket,4763.55,4.8
BB1708,16.64,Low Fat,0.016,Snacks,OUT019,1997,High,Tier 2,Grocery Store,2267.78,4.1
BB1709,6.6,Regular,0.076,Frozen Foods,OUT045,2008,High,Tier 3,Supermarket,4451.65,4.6
BB1710,14.71,Low Fat,0.067,Vegetables,OUT035,2004,High,Tier 2,Supermarket,4567.57,4.5
BB1711,13.47,Low Fat,0.038,Health,OUT046,2015,High,Tier 3,Supermarket,4897.71,4.3
BB1712,15.62,Non-Edible,0.177,Soft Drinks,OUT027,1995,Medium,Tier 2,Hypermarket,4621.06,3.3
BB1713,17.35,Low Fat,0.191,Soft Drinks,OUT049,1998,Small,Tier 3,Grocery Store,1454.81,1
BB1714,15.87,Regular,0.131,Vegetables,OUT045,1996,High,Tier 3,Supermarket,1019.1,1.8
BB1715,15.48,Non-Edible,0.185,Frozen Foods,OUT045,2016,High,Tier 2,Hypermarket,4211.59,2.4
BB1716,14.8,Regular,0.084,Snacks,OUT049,2012,Medium,Tier 1,Hypermarket,3134.31,3.3
BB1717,3.71,Non-Edible,0.115,Household,OUT046,1998,High,Tier 3,Supermarket,4807.99,3.9
BB1718,17.09,Low Fat,0.056,Baking Goods,OUT046,2022,Medium,Tier 1,Supermarket,2127.86,2.9
BB1719,8.31,Low Fat,0.089,Soft Drinks,OUT018,1999,High,Tier 2,Grocery Store,3388.29,1.7
BB1720,10.88,Non-Edible,0.155,Baking Goods,OUT045,1999,High,Tier 1,Grocery Store,4891.48,4.6
BB1721,2.17,Non-Edible,0.084,Health,OUT046,2013,Medium,Tier 2,Hypermarket,640.4,2.4
BB1722,11.85,Low Fat,0.063,Fruits,OUT018,2004,Medium,Tier 2,Hypermarket,2552.82,1.7
BB1723,9.39,Low Fat,0.066,Snacks,OUT035,2001,Medium,Tier 1,Grocery Store,1956.15,1.2
BB1724,10.99,Regular,0.103,Household,OUT049,1997,High,Tier 1,Grocery Store,3485.16,2.1
BB1725,2.37,Non-Edible,0.068,Canned,OUT035,2010,Small,Tier 3,Hypermarket,1208.68,1.5
BB1726,10.12,Regular,0.122,Vegetables,OUT045,2008,High,Tier 2,Grocery Store,3818.24,4.9
BB1727,17.77,Non-Edible,0.026,Canned,OUT018,2008,Medium,Tier 2,Supermarket,4980.31,2.6
BB1728,12.77,Non-Edible,0.15,Household,OUT019,2022,Medium,Tier 2,Grocery Store,4675.49,1.2
BB1729,18.06,Regular,0.153,Canned,OUT035,2006,Small,Tier 1,Grocery Store,1666,1.7
BB1730,12.06,Non-Edible,0.044,Vegetables,OUT019,2009,Small,Tier 1,Supermarket,945,2.7
BB1731,10.77,Low Fat,0.079,Soft Drinks,OUT019,1999,Small,Tier 2,Hypermarket,3614.53,1.1
BB1732,9.72,Regular,0.116,Fruits,OUT046,2007,Small,Tier 3,Grocery Store,1262.96,2.3
BB1733,2.09,Regular,0.132,Canned,OUT019,1997,Medium,Tier 2,Grocery Store,4567.87,3.8
BB1734,19.69,Non-Edible,0.142,Snacks,OUT019,2008,Medium,Tier 1,Hypermarket,1007.14,3.7
BB1735,6.07,Low Fat,0.192,Baking Goods,OUT049,2013,Medium,Tier 1,Grocery Store,3314.11,4.1
BB1736,19.7,Regular,0.036,Canned,OUT035,2003,High,Tier 2,Grocery Store,2502.97,3.6
BB1737,17.73,Regular,0.013,Baking Goods,OUT018,2021,High,Tier 3,Hypermarket,2328.61,1.7
BB1738,6.91,Low Fat,0.134,Dairy,OUT046,2004,High,Tier 2,Hypermarket,745.99,1.5
BB1739,5.61,Regular,0.121,Vegetables,OUT046,2011,Medium,Tier 2,Supermarket,3251.55,4
BB1740,11.39,Low Fat,0.046,Frozen Foods,OUT049,2004,High,Tier 1,Supermarket,4792.92,1.1
BB1741,9.17,Non-Edible,0.113,Soft Drinks,OUT027,2001,Small,Tier 2,Grocery Store,4231.48,2.6
BB1742,15.37,Regular,0.028,Baking Goods,OUT035,1997,Small,Tier 1,Grocery Store,2699.82,1.3
BB1743,16.7,Regular,0.026,Baking Goods,OUT035,2016,Medium,Tier 3,Grocery Store,2504.49,3.6
BB1744,18.61,Low Fat,0.166,Canned,OUT046,2002,Small,Tier 3,Hypermarket,960.3,2.9
BB1745,6,Regular,0.151,Dairy,OUT018,2014,High,Tier 2,Hypermarket,3110.37,3.4
BB1746,19.8,Non-Edible,0.156,Dairy,OUT027,2020,High,Tier 1,Grocery Store,1305.34,4.2
BB1747,12.54,Regular,0.153,Baking Goods,OUT035,2016,Medium,Tier 2,Hypermarket,4516.67,1.3
BB1748,7.98,Non-Edible,0.168,Baking Goods,OUT045,2016,High,Tier 1,Supermarket,3832.68,3.6
BB1749,11.05,Low Fat,0.018,Household,OUT049,2015,Medium,Tier 3,Grocery Store,1105.68,2.6
BB1750,13.31,Low Fat,0.138,Canned,OUT035,2010,High,Tier 3,Supermarket,4977.52,4.5
BB1751,4.01,Low Fat,0.045,Soft Drinks,OUT019,2008,High,Tier 3,Hypermarket,1030.86,4
BB1752,15.38,Regular,0.115,Health,OUT046,2010,Medium,Tier 3,Supermarket,4512.96,4.3
BB1753,2.33,Low Fat,0.088,Baking Goods,OUT049,1995,High,Tier 1,Grocery Store,2111.24,2.3
BB1754,12.01,Low Fat,0.184,Dairy,OUT046,2021,High,Tier 1,Hypermarket,1555.28,1
BB1755,17.91,Regular,0.11,Snacks,OUT019,2019,Small,Tier 2,Grocery Store,4472.55,1
BB1756,4.41,Low Fat,0.053,Dairy,OUT018,1995,Small,Tier 1,Grocery Store,3220.44,4.8
BB1757,7.51,Non-Edible,0.074,Baking Goods,OUT046,2009,Medium,Tier 3,Supermarket,522.01,4.5
BB1758,7.72,Non-Edible,0.078,Dairy,OUT019,2003,Small,Tier 1,Hypermarket,1489.3,4.8
BB1759,5.08,Regular,0.155,Vegetables,OUT019,2019,High,Tier 2,Grocery Store,2505.24,3.6
BB1760,16.25,Regular,0.081,Fruits,OUT049,2007,Medium,Tier 3,Hypermarket,3126.75,2
BB1761,12.86,Regular,0.055,Soft Drinks,OUT027,1999,High,Tier 2,Grocery Store,4868.41,2.2
BB1762,14.32,Non-Edible,0.147,Soft Drinks,OUT049,2006,Small,Tier 3,Hypermarket,577.69,2.6
BB1763,19.67,Regular,0.101,Vegetables,OUT049,1998,Small,Tier 2,Hypermarket,1208.98,2.4
BB1764,2.32,Low Fat,0.073,Health,OUT046,2020,High,Tier 3,Grocery Store,2454.9,3.2
BB1765,10.8,Regular,0.125,Snacks,OUT018,2008,High,Tier 3,Supermarket,2250.12,1.3
BB1766,9.48,Low Fat,0.18,Vegetables,OUT046,2020,Small,Tier 3,Supermarket,3427.41,2.3
BB1767,16.06,Regular,0.104,Soft Drinks,OUT027,2017,Small,Tier 3,Supermarket,779.65,2.6
BB1768,17.51,Non-Edible,0.129,Dairy,OUT046,2001,High,Tier 2,Hypermarket,3457.51,1.4
BB1769,6.57,Non-Edible,0.021,Health,OUT027,2014,Medium,Tier 3,Hypermarket,4427.88,4.1
BB1770,10.19,Regular,0.045,Soft Drinks,OUT049,2014,Medium,Tier 3,Hypermarket,4242.83,3.5
BB1771,7.78,Non-Edible,0.151,Soft Drinks,OUT027,2020,Small,Tier 2,Grocery Store,4790.48,1.5
BB1772,3.75,Non-Edible,0.12,Baking Goods,OUT046,2019,Medium,Tier 2,Hypermarket,2775.91,4.2
BB1773,2.83,Regular,0.018,Snacks,OUT046,2004,Medium,Tier 3,Supermarket,983.15,3
BB1774,15.19,Low Fat,0.035,Soft Drinks,OUT027,1996,High,Tier 3,Hypermarket,1672.33,4.7
BB1775,14.2,Low Fat,0.108,Frozen Foods,OUT027,2009,Medium,Tier 1,Supermarket,4582.82,4.2
BB1776,8.88,Regular,0.132,Health,OUT019,2018,Small,Tier 2,Hypermarket,1118.77,4.3
BB1777,7.08,Low Fat,0.195,Canned,OUT019,2019,High,Tier 3,Supermarket,4287.04,2.3
BB1778,4.27,Regular,0.124,Fruits,OUT018,2018,Small,Tier 3,Supermarket,1326.09,2.2
BB1779,12.26,Non-Edible,0.158,Health,OUT027,2021,High,Tier 3,Grocery Store,3610.94,3.9
BB1780,6.78,Non-Edible,0.126,Health,OUT045,2002,Medium,Tier 1,Grocery Store,574.28,3.6
BB1781,15.5,Regular,0.145,Household,OUT045,2019,Small,Tier 2,Grocery Store,817.34,2.6
BB1782,10.42,Non-Edible,0.078,Frozen Foods,OUT049,2017,High,Tier 1,Hypermarket,3567.37,2.1
BB1783,17.09,Regular,0.065,Canned,OUT018,2019,Small,Tier 2,Hypermarket,2180.64,2.1
BB1784,2.82,Regular,0.092,Frozen Foods,OUT049,2020,Medium,Tier 3,Supermarket,4852.64,2.4
BB1785,15.37,Non-Edible,0.151,Dairy,OUT035,2022,High,Tier 2,Grocery Store,3729.81,2.4
BB1786,6.97,Non-Edible,0.016,Vegetables,OUT019,2013,High,Tier 2,Supermarket,3646.62,3.1
BB1787,17.67,Regular,0.025,Fruits,OUT045,2014,High,Tier 3,Hypermarket,1320.09,4.5
BB1788,11.21,Regular,0.086,Health,OUT045,2017,High,Tier 2,Supermarket,2387.38,4.4
BB1789,15.1,Low Fat,0.041,Soft Drinks,OUT018,2010,Medium,Tier 2,Hypermarket,4003.12,1.1
BB1790,13.24,Low Fat,0.037,Fruits,OUT019,2007,Medium,Tier 3,Hypermarket,3945.34,4.1
BB1791,17.76,Low Fat,0.158,Baking Goods,OUT049,2003,High,Tier 1,Grocery Store,1828.06,1.3
BB1792,9.42,Low Fat,0.169,Household,OUT035,1995,High,Tier 2,Hypermarket,4668.84,3.4
BB1793,3.31,Low Fat,0.024,Frozen Foods,OUT018,2016,High,Tier 2,Grocery Store,3860.29,3.8
BB1794,13.27,Non-Edible,0.122,Canned,OUT049,2006,Medium,Tier 2,Hypermarket,1391.98,2.5
BB1795,2.84,Low Fat,0.065,Health,OUT045,1996,Medium,Tier 2,Supermarket,3687.29,4
BB1796,4.97,Regular,0.172,Snacks,OUT045,2018,Small,Tier 1,Supermarket,3015.44,4.9
BB1797,10.75,Non-Edible,0.185,Snacks,OUT046,2014,Small,Tier 1,Grocery Store,4520.79,2.4
BB1798,14.35,Non-Edible,0.185,Household,OUT046,2020,Medium,Tier 1,Grocery Store,2090.97,1.3
BB1799,16.14,Non-Edible,0.048,Fruits,OUT027,2010,Small,Tier 2,Supermarket,909.51,4.2
BB1800,6.23,Non-Edible,0.063,Canned,OUT027,2016,Medium,Tier 3,Grocery Store,4782.1,2
BB1801,5.9,Low Fat,0.05,Household,OUT019,2011,High,Tier 1,Grocery Store,2736.5,4.3
BB1802,5.33,Regular,0.062,Household,OUT049,2012,Small,Tier 1,Supermarket,4302.82,4.6
BB1803,2.43,Low Fat,0.192,Baking Goods,OUT019,1997,High,Tier 1,Hypermarket,1981.85,4.8
BB1804,4.85,Low Fat,0.195,Frozen Foods,OUT049,1998,Small,Tier 2,Supermarket,1343.61,2.7
BB1805,6.96,Low Fat,0.199,Canned,OUT019,1999,Small,Tier 2,Supermarket,4076.49,4.6
BB1806,15.23,Non-Edible,0.094,Canned,OUT035,2001,High,Tier 3,Supermarket,4920.85,3.3
BB1807,13.52,Non-Edible,0.064,Soft Drinks,OUT046,2010,High,Tier 1,Grocery Store,2016.26,2
BB1808,13.56,Regular,0.19,Canned,OUT046,2005,High,Tier 1,Supermarket,3521.11,2.8
BB1809,6.47,Regular,0.03,Health,OUT019,2009,High,Tier 3,Supermarket,4607.67,3.6
BB1810,2.96,Low Fat,0.082,Health,OUT035,2008,Small,Tier 1,Grocery Store,2625.18,3.6
BB1811,16.29,Low Fat,0.102,Health,OUT035,1998,High,Tier 1,Supermarket,1502.19,1.4
BB1812,3.32,Regular,0.165,Dairy,OUT018,2020,Medium,Tier 3,Grocery Store,3128.23,1.5
BB1813,17.82,Regular,0.095,Vegetables,OUT019,2020,Medium,Tier 3,Hypermarket,4654.05,3.5
BB1814,8.76,Regular,0.101,Vegetables,OUT045,1997,Small,Tier 3,Supermarket,1217.38,1.6
BB1815,9.76,Regular,0.012,Health,OUT045,2002,High,Tier 1,Hypermarket,4339.99,2.8
BB1816,5.76,Regular,0.184,Household,OUT018,2014,Small,Tier 3,Hypermarket,2594.56,2.5
BB1817,14.53,Regular,0.118,Canned,OUT019,2007,Medium,Tier 2,Supermarket,4254.46,3
BB1818,12.22,Regular,0.114,Baking Goods,OUT046,2005,High,Tier 1,Grocery Store,1502.83,1.4
BB1819,3.61,Non-Edible,0.094,Dairy,OUT046,2004,Medium,Tier 2,Grocery Store,3310.64,2.8
BB1820,2.06,Regular,0.144,Household,OUT046,2000,High,Tier 3,Hypermarket,3994.56,1.2
BB1821,2.91,Regular,0.073,Baking Goods,OUT027,2013,Medium,Tier 2,Supermarket,1277.09,2.7
BB1822,5.77,Regular,0.06,Health,OUT049,2018,Medium,Tier 2,Supermarket,4255.18,2.1
BB1823,3.36,Regular,0.023,Baking Goods,OUT019,2019,High,Tier 1,Hypermarket,3877.72,2.7
BB1824,12.93,Regular,0.032,Soft Drinks,OUT045,1997,Small,Tier 3,Hypermarket,4173.03,2.1
BB1825,19.86,Non-Edible,0.08,Canned,OUT049,2018,High,Tier 1,Hypermarket,4982.04,1.9
BB1826,14.61,Low Fat,0.146,Dairy,OUT046,2015,High,Tier 1,Supermarket,2945.53,1.1
BB1827,9.33,Low Fat,0.057,Dairy,OUT045,2015,Medium,Tier 3,Supermarket,3125.29,3.7
BB1828,5.42,Regular,0.172,Household,OUT035,2021,Medium,Tier 1,Hypermarket,928,1.8
BB1829,3.49,Non-Edible,0.114,Soft Drinks,OUT046,2022,High,Tier 2,Hypermarket,1070.77,1.7
BB1830,12.43,Low Fat,0.125,Snacks,OUT045,2010,Small,Tier 1,Hypermarket,2898.32,3.7
BB1831,5.79,Regular,0.027,Canned,OUT035,2007,High,Tier 2,Supermarket,2568.17,2.8
BB1832,16.73,Regular,0.127,Health,OUT035,1997,Small,Tier 1,Supermarket,4729.74,2.2
BB1833,12.55,Regular,0.175,Health,OUT035,1998,Medium,Tier 1,Grocery Store,4412.34,1.3
BB1834,2.09,Regular,0.137,Dairy,OUT035,2002,Small,Tier 2,Grocery Store,3599.88,3
BB1835,7.1,Regular,0.052,Dairy,OUT049,1997,High,Tier 1,Supermarket,1798.54,4.9
BB1836,8.93,Regular,0.095,Dairy,OUT027,2017,High,Tier 3,Hypermarket,3804.62,3
BB1837,16.5,Non-Edible,0.016,Vegetables,OUT049,2016,Small,Tier 2,Hypermarket,1607.07,4.4
BB1838,7.05,Regular,0.08,Dairy,OUT046,1997,Medium,Tier 2,Supermarket,2519.96,2.6
BB1839,18.07,Non-Edible,0.1,Frozen Foods,OUT049,2011,Small,Tier 1,Supermarket,4857.28,1.8
BB1840,12.38,Non-Edible,0.129,Snacks,OUT046,2020,Small,Tier 3,Grocery Store,3818.3,2.5
BB1841,12.11,Non-Edible,0.078,Frozen Foods,OUT049,2009,Medium,Tier 2,Supermarket,3054,3.1
BB1842,10.75,Low Fat,0.014,Household,OUT019,2006,High,Tier 2,Hypermarket,3489.82,2.8
BB1843,7.54,Non-Edible,0.018,Snacks,OUT049,2019,Medium,Tier 2,Grocery Store,4889.06,1.7
BB1844,19.93,Low Fat,0.182,Dairy,OUT046,2019,Medium,Tier 1,Grocery Store,4926.88,2.7
BB1845,2.72,Low Fat,0.149,Baking Goods,OUT045,2011,Small,Tier 3,Grocery Store,2070.25,3.3
BB1846,3.16,Non-Edible,0.198,Soft Drinks,OUT035,2004,Medium,Tier 2,Hypermarket,1618.16,3
BB1847,5.41,Low Fat,0.148,Health,OUT046,2009,Small,Tier 2,Hypermarket,4705.05,2.4
BB1848,7.38,Non-Edible,0.08,Fruits,OUT046,2022,Small,Tier 2,Hypermarket,3861.85,4.2
BB1849,13.66,Non-Edible,0.179,Vegetables,OUT019,2014,Medium,Tier 1,Supermarket,4838.27,4.7
BB1850,19.78,Regular,0.04,Snacks,OUT046,2003,High,Tier 2,Supermarket,1675.16,3.5
BB1851,2.29,Low Fat,0.185,Dairy,OUT035,2015,Small,Tier 3,Supermarket,3473.04,1.5
BB1852,13.49,Non-Edible,0.014,Baking Goods,OUT018,1996,Medium,Tier 2,Grocery Store,1287.76,1.8
BB1853,4.65,Low Fat,0.06,Baking Goods,OUT027,2016,Small,Tier 2,Grocery Store,695.44,4
BB1854,11.37,Regular,0.163,Snacks,OUT045,2005,Medium,Tier 2,Supermarket,3432.8,3
BB1855,9.54,Non-Edible,0.112,Health,OUT019,1995,Small,Tier 3,Hypermarket,715.35,2
BB1856,15.47,Non-Edible,0.133,Frozen Foods,OUT049,1998,Medium,Tier 3,Grocery Store,2319.58,2.5
BB1857,5.91,Regular,0.09,Health,OUT049,2019,Small,Tier 1,Hypermarket,4009.96,2.9
BB1858,3.25,Regular,0.14,Frozen Foods,OUT019,1999,Small,Tier 1,Supermarket,3949.27,2.6
BB1859,4.65,Regular,0.099,Fruits,OUT018,2009,High,Tier 1,Grocery Store,4748.73,3.6
BB1860,12.63,Regular,0.041,Soft Drinks,OUT046,2012,High,Tier 2,Hypermarket,1710.55,3.8
BB1861,8.05,Low Fat,0.012,Household,OUT045,2001,Small,Tier 2,Supermarket,3892.16,1.1
BB1862,12.03,Low Fat,0.189,Vegetables,OUT049,2006,Small,Tier 1,Grocery Store,1006.78,4.5
BB1863,3.76,Low Fat,0.03,Fruits,OUT049,2022,High,Tier 3,Grocery Store,2589.85,4.1
BB1864,3.18,Regular,0.159,Dairy,OUT046,2012,Medium,Tier 3,Supermarket,1061.79,2.7
BB1865,8.6,Regular,0.109,Household,OUT035,1997,High,Tier 2,Grocery Store,919.81,4.6
BB1866,11.46,Non-Edible,0.016,Frozen Foods,OUT019,2013,Medium,Tier 2,Supermarket,1663.44,2.5
BB1867,17.75,Non-Edible,0.011,Frozen Foods,OUT019,2003,Medium,Tier 1,Supermarket,3201.44,3.2
BB1868,12.67,Low Fat,0.058,Health,OUT035,2016,Medium,Tier 3,Hypermarket,2763.88,3.7
BB1869,13.63,Low Fat,0.114,Snacks,OUT035,2022,High,Tier 2,Supermarket,1038.19,4.9
BB1870,16.26,Non-Edible,0.108,Baking Goods,OUT027,1995,Medium,Tier 1,Supermarket,4219.6,4.6
BB1871,18.54,Low Fat,0.036,Canned,OUT019,2016,Medium,Tier 2,Grocery Store,2389.86,2.4
BB1872,11.39,Non-Edible,0.035,Snacks,OUT046,2012,Medium,Tier 3,Hypermarket,4434.32,1.5
BB1873,2.65,Low Fat,0.156,Frozen Foods,OUT049,2011,Small,Tier 1,Hypermarket,3648.82,4.1
BB1874,2.03,Non-Edible,0.166,Frozen Foods,OUT035,2019,Medium,Tier 2,Supermarket,3221.56,4
BB1875,9.03,Regular,0.079,Vegetables,OUT019,2003,Medium,Tier 2,Hypermarket,2755.81,1
BB1876,7.94,Regular,0.142,Snacks,OUT019,2002,Small,Tier 3,Grocery Store,2717.8,4.5
BB1877,9.58,Regular,0.058,Household,OUT018,2014,High,Tier 1,Hypermarket,2775.18,3.8
BB1878,17.74,Non-Edible,0.109,Household,OUT049,2021,High,Tier 3,Grocery Store,4311.97,2.6
BB1879,11.33,Non-Edible,0.174,Baking Goods,OUT049,2011,High,Tier 2,Supermarket,1079.27,4.2
BB1880,18.94,Non-Edible,0.034,Household,OUT027,2013,Medium,Tier 2,Hypermarket,4730.61,2.9
BB1881,12.36,Non-Edible,0.102,Canned,OUT035,1998,High,Tier 3,Supermarket,694.09,1.1
BB1882,8.64,Non-Edible,0.101,Health,OUT018,2008,High,Tier 3,Grocery Store,2830.34,1.2
BB1883,5.47,Regular,0.166,Canned,OUT045,2020,Medium,Tier 1,Supermarket,2430.13,4
BB1884,14,Regular,0.188,Health,OUT019,2002,High,Tier 1,Supermarket,2950.83,4.1
BB1885,14.2,Low Fat,0.145,Canned,OUT045,2013,Small,Tier 2,Hypermarket,508.39,3.8
BB1886,8.72,Non-Edible,0.089,Baking Goods,OUT045,2001,Small,Tier 2,Grocery Store,1731.59,4
BB1887,13.38,Non-Edible,0.15,Frozen Foods,OUT049,2020,High,Tier 1,Hypermarket,4347.65,4.6
BB1888,19.53,Regular,0.19,Baking Goods,OUT049,2015,Medium,Tier 2,Supermarket,2215.83,1.2
BB1889,16.58,Low Fat,0.115,Frozen Foods,OUT019,2009,Small,Tier 3,Supermarket,592.68,2.3
BB1890,7,Non-Edible,0.024,Fruits,OUT019,2010,High,Tier 2,Hypermarket,2386.11,2.6
BB1891,5.07,Regular,0.07,Frozen Foods,OUT046,2004,Small,Tier 3,Supermarket,631.02,3
BB1892,10.27,Non-Edible,0.045,Dairy,OUT046,2008,High,Tier 3,Supermarket,967.99,3
BB1893,8.51,Low Fat,0.156,Frozen Foods,OUT049,2002,Small,Tier 3,Grocery Store,733.66,4.8
BB1894,15.84,Low Fat,0.043,Frozen Foods,OUT018,2000,Small,Tier 2,Grocery Store,4579.97,3.5
BB1895,7.99,Non-Edible,0.072,Snacks,OUT027,2014,Small,Tier 3,Hypermarket,939.63,2.3
BB1896,19.33,Non-Edible,0.114,Snacks,OUT018,1996,High,Tier 1,Supermarket,2544.16,3.3
BB1897,18.36,Non-Edible,0.163,Dairy,OUT035,2012,Medium,Tier 1,Grocery Store,2139.14,2.4
BB1898,13.57,Non-Edible,0.077,Canned,OUT049,2016,High,Tier 2,Grocery Store,4417.21,2.2
BB1899,17.63,Non-Edible,0.081,Baking Goods,OUT027,1999,High,Tier 3,Hypermarket,883.22,2.8
BB1900,2.8,Regular,0.111,Vegetables,OUT046,1995,Small,Tier 1,Hypermarket,1299.7,2.2
BB1901,13.96,Low Fat,0.034,Soft Drinks,OUT045,2018,Small,Tier 1,Grocery Store,531.79,3.2
BB1902,10.45,Regular,0.171,Vegetables,OUT027,2000,Small,Tier 1,Grocery Store,2280.3,2.3
BB1903,3.82,Regular,0.129,Health,OUT018,2015,Small,Tier 1,Grocery Store,1431.78,4.9
